Package,post,N,A,Ce,Ca,I,D,,pkgCohesion,pkgCoupling,pkgCyclDepss,pkgCyclpkgs,Package Name 
com.ibm.oti.vm,0,1,0,1,1,0.5,0.5,,0,0,1,1,com.ibm.oti.vm
com.sun.jdi,0,63,2.705882353,5,19,0.208333333,1.914215686,,0.19047619,0.793650794,1,1,com.sun.jdi
com.sun.jdi.connect,0,7,2.5,4,5,0.444444444,1.944444444,,0.333333333,0.777777778,1,1,com.sun.jdi.connect
com.sun.jdi.event,0,20,0,4,6,0.4,0.6,,0,0,0,0,com.sun.jdi.event
com.sun.jdi.request,0,18,8,3,9,0.25,7.25,,0.333333333,0.666666667,1,1,com.sun.jdi.request
org.eclipse.ant.core,13,2,0,7,5,0.583333333,0.416666667,,0.083333333,0.708333333,0.958333333,0.958333333,org.eclipse.ant.core
org.eclipse.ant.internal.core,2,6,0.2,7,3,0.7,0.1,,0.185185185,0.851851852,0.962962963,0.962962963,org.eclipse.ant.internal.core
org.eclipse.ant.internal.core.ant,31,3,0,7,0,0,1,,0.272727273,0.727272727,1,1,org.eclipse.ant.internal.core.ant
org.eclipse.compare,1,19,1.375,25,10,0.714285714,1.089285714,,0.121621622,0.810810811,0.939189189,0.986486486,org.eclipse.compare
org.eclipse.compare.contentmergeviewer,0,6,2,27,4,0.870967742,1.870967742,,0.046728972,0.785046729,0.990654206,0.990654206,org.eclipse.compare.contentmergeviewer
org.eclipse.compare.internal,1,54,0.2,34,6,0.85,0.05,,0.185520362,0.85520362,0.936651584,0.986425339,org.eclipse.compare.internal
org.eclipse.compare.internal.patch,1,12,0,29,0,0,1,,0.111111111,0.757575758,1,1,org.eclipse.compare.internal.patch
org.eclipse.compare.rangedifferencer,0,5,0.25,4,1,0.8,0.05,,0.625,0.625,1,1,org.eclipse.compare.rangedifferencer
org.eclipse.compare.structuremergeviewer,0,13,1.6,16,10,0.615384615,1.215384615,,0.118811881,0.821782178,0.99009901,0.97029703,org.eclipse.compare.structuremergeviewer
org.eclipse.core.boot,0,3,2,4,18,0.181818182,1.181818182,,0.057142857,0.514285714,0.971428571,0.971428571,org.eclipse.core.boot
org.eclipse.core.internal.boot,2,13,0.181818182,9,7,0.5625,0.255681818,,0.464285714,0.714285714,0.964285714,0.964285714,org.eclipse.core.internal.boot
org.eclipse.core.internal.dtree,0,17,0.307692308,4,2,0.666666667,0.025641026,,0.53125,0.875,1,1,org.eclipse.core.internal.dtree
org.eclipse.core.internal.events,4,13,0.083333333,9,3,0.75,0.166666667,,0.166666667,0.916666667,0.944444444,0.972222222,org.eclipse.core.internal.events
org.eclipse.core.internal.indexing,0,39,0.3,4,2,0.666666667,0.033333333,,0.847826087,0.934782609,1,1,org.eclipse.core.internal.indexing
org.eclipse.core.internal.localstore,7,20,0.25,9,1,0.9,0.15,,0.219178082,0.917808219,0.863013699,0.98630137,org.eclipse.core.internal.localstore
org.eclipse.core.internal.plugins,5,20,0.111111111,12,4,0.75,0.138888889,,0.285714286,0.904761905,0.936507937,0.952380952,org.eclipse.core.internal.plugins
org.eclipse.core.internal.properties,0,8,0.142857143,8,2,0.8,0.057142857,,0.186046512,0.860465116,0.88372093,0.976744186,org.eclipse.core.internal.properties
org.eclipse.core.internal.resources,10,61,0.150943396,17,4,0.80952381,0.039532794,,0.378205128,0.935897436,0.891025641,0.974358974,org.eclipse.core.internal.resources
org.eclipse.core.internal.runtime,2,19,0,11,6,0.647058824,0.352941176,,0.25,0.894736842,0.763157895,0.960526316,org.eclipse.core.internal.runtime
